title,date,desc,url
"Arboviral diseases, Cuba",,,https://beaconbio.org/en/event/?eventid=b19ca700-4a57-46c4-8d21-3560c7d90826&
"Crimean-Congo hemorrhagic fever, Kazakhstan",,,https://beaconbio.org/en/event/?eventid=34d93397-fe73-4eb7-9e7c-3b3862a2cfeb&
"Influenza, Japan",,,https://beaconbio.org/en/event/?eventid=5fc51add-546e-460a-9e51-42e9fa5b4e44&
"Hepatitis, Sudan",,,https://beaconbio.org/en/event/?eventid=4c7b238d-f685-4ea6-a67c-17b5095c27f1&
"Foot and mouth disease, South Africa",,,https://beaconbio.org/en/event/?eventid=c382b4aa-0134-4b3d-932a-02753e1caa8e&
Announcements: Policy developments and strategic initiatives,,,https://beaconbio.org/en/event/?eventid=87f9a364-86ea-4ec8-978c-63a0c14f6e22&
"Highly pathogenic avian influenza (HPAI), Iraq",,,https://beaconbio.org/en/event/?eventid=47002f10-b2c3-4a3a-b476-6151a7f5d5c4&
"Rabies, Vietnam",,,https://beaconbio.org/en/event/?eventid=45119243-b346-455d-86c0-3fc1e6eade6b&
"Measles, USA",,,https://beaconbio.org/en/event/?eventid=2f15d768-f7ee-48ec-b675-02ad2862880f&
"Legionellosis, USA",,,https://beaconbio.org/en/event/?eventid=c428887d-bf7b-42a3-bcea-17ee77162149&
,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
Introducing Disease Event Filtering & Automated Daily and Weekly Digests: Enhancing User Experience,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
"Mpox, Spain",,,https://beaconbio.org/en/event/?eventid=ca7a3e0b-efd3-475d-b317-ca6d579bc1e5&page=2
"Primary amebic meningoencephalitis, India",,,https://beaconbio.org/en/event/?eventid=2b3edcfe-7247-4b6f-9ee5-4a749fbd6ed7&page=2
"Severe fever with thrombocytopenia syndrome, Thailand",,,https://beaconbio.org/en/event/?eventid=a6193ba4-fd20-4441-93c6-a02ab5d15b80&page=2
"Yellow fever, Costa Rica",,,https://beaconbio.org/en/event/?eventid=e01a8189-f8a2-4c06-9e82-97aae93e631d&page=2
"Gastroenteritis, R̩union",,,https://beaconbio.org/en/event/?eventid=a1dcc3d5-4bb6-40d6-a073-689dace380ed&page=2
"Lumpy skin disease, France",,,https://beaconbio.org/en/event/?eventid=e31c37a2-d0a0-4ee9-963e-352ed529b0aa&page=2
"Hand, foot, and mouth disease, Mexico",,,https://beaconbio.org/en/event/?eventid=3fd837bd-e965-4a7b-bfe7-affb66b87a65&page=2
"Leptospirosis, USA",,,https://beaconbio.org/en/event/?eventid=bf6aec65-1743-4ea1-804a-289d3c6a5f66&page=2
"Malaria, Cape Verde",,,https://beaconbio.org/en/event/?eventid=0a360439-ced8-4642-9214-5b13a9948029&page=2
Announcements: Journal Club,,,https://beaconbio.org/en/event/?eventid=3d474bd0-10f6-4da2-b6ef-337a0c11d6db&page=2
,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
Introducing Disease Event Filtering & Automated Daily and Weekly Digests: Enhancing User Experience,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
Introducing Disease Event Filtering & Automated Daily and Weekly Digests: Enhancing User Experience,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
"New World screwworm (Cochliomyia hominivorax), Americas",,,https://beaconbio.org/en/event/?eventid=7a1ae0cb-6d86-4ea3-95cc-c1c141b3f696&page=4
"Dengue, Philippines",,,https://beaconbio.org/en/event/?eventid=d2d9f196-17db-4c5a-8e0a-f7f0001076fc&page=4
"Ebola virus disease, Democratic Republic of the Congo",,,https://beaconbio.org/en/event/?eventid=bc2748bc-fa2f-4aad-894b-919de2e1052f&page=4
"Rift Valley fever, Senegal",,,https://beaconbio.org/en/event/?eventid=af4e981f-8dec-4cef-899f-06995b647b0a&page=4
"Rift Valley fever, Mauritania",,,https://beaconbio.org/en/event/?eventid=379194ae-83ec-4f1e-b669-428859906352&page=4
"Highly pathogenic avian influenza (HPAI), Argentina",,,https://beaconbio.org/en/event/?eventid=17b9bafc-3662-4dd7-9411-5e00209f5346&page=4
"Measles, Kyrgyzstan",,,https://beaconbio.org/en/event/?eventid=38540ab7-f06d-44f0-89cf-4fa708ffa1bb&page=4
"Diethylene glycol poisoning, India",,,https://beaconbio.org/en/event/?eventid=f11e5e0e-5356-4cce-95d9-72e51086db19&page=4
"Ralstonia mannitolilytica infection, Costa Rica",,,https://beaconbio.org/en/event/?eventid=a4e88044-cd30-421a-8e4a-cf92b06ba7c3&page=4
"Fowl cholera (avian pasteurellosis), Kazakhstan",,,https://beaconbio.org/en/event/?eventid=82f0d9b4-6235-421e-98ba-b50173d4f272&page=4
,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
Introducing Disease Event Filtering & Automated Daily and Weekly Digests: Enhancing User Experience,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
"Highly pathogenic avian influenza (HPAI), Netherlands",,,https://beaconbio.org/en/event/?eventid=1ec4fefc-93d8-4f33-ad46-619bcee7ba3b&page=5
"Mumps, USA",,,https://beaconbio.org/en/event/?eventid=632db660-2727-4ceb-a9f4-46272e879593&page=5
"Highly pathogenic avian influenza (HPAI), Islamic Republic of Iran",,,https://beaconbio.org/en/event/?eventid=b1e8e254-cf10-4aa3-a8b1-8d80c3617d42&page=5
"Mpox, Malawi",,,https://beaconbio.org/en/event/?eventid=f5a18946-33da-4923-9291-4d252919c0c7&page=5
"Chikungunya, global",,,https://beaconbio.org/en/event/?eventid=f1e1f871-0572-4dd8-9fba-750825a935ad&page=5
"Dengue, Samoa",,,https://beaconbio.org/en/event/?eventid=dfad95fd-d4df-42ba-be95-28b3c048279b&page=5
"Poliomyelitis, Afghanistan",,,https://beaconbio.org/en/event/?eventid=dfd0f442-50cd-4f49-a148-8080c89bdaa6&page=5
"Lumpy skin disease, Spain",,,https://beaconbio.org/en/event/?eventid=d82b3a3f-9e16-4e72-bc5c-f69e4c615fec&page=5
"Leishmaniasis/leishmaniosis, Kenya",,,https://beaconbio.org/en/event/?eventid=c452da16-45ee-4d84-89d2-7d30a60243af&page=5
"Chikungunya, China",,,https://beaconbio.org/en/event/?eventid=d32ccdba-df8d-42ad-baf9-c2aa7644cc24&page=5
,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
Introducing Disease Event Filtering & Automated Daily and Weekly Digests: Enhancing User Experience,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
"Highly pathogenic avian influenza (HPAI), Netherlands",,,https://beaconbio.org/en/event/?eventid=1ec4fefc-93d8-4f33-ad46-619bcee7ba3b&page=5
"Mumps, USA",,,https://beaconbio.org/en/event/?eventid=632db660-2727-4ceb-a9f4-46272e879593&page=5
"Highly pathogenic avian influenza (HPAI), Islamic Republic of Iran",,,https://beaconbio.org/en/event/?eventid=b1e8e254-cf10-4aa3-a8b1-8d80c3617d42&page=5
,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
Introducing Disease Event Filtering & Automated Daily and Weekly Digests: Enhancing User Experience,,,https://beaconbio.org/en/blog/post/?slug=event-filtering-and-automated-digests
"Anthrax, Bangladesh",,,https://beaconbio.org/en/event/?eventid=ce4c9247-d789-48b5-b3e5-0c38f789892f&page=6
"Highly pathogenic avian influenza (HPAI), UK",,,https://beaconbio.org/en/event/?eventid=845e4d10-d6af-46cf-9fd3-fb50b1615f4d&page=6
"Japanese encephalitis, India",,,https://beaconbio.org/en/event/?eventid=9c400d38-1c9e-45f6-ac5c-3d17abcacc3f&page=6
